Date,KO,PEP
2012-05-22,24.414045333862305,45.655765533447266
2012-05-23,24.532506942749023,45.60210418701172
2012-05-24,24.8648738861084,46.14530563354492
2012-05-25,24.756282806396484,46.03129959106445
2012-05-29,24.831972122192383,46.49404525756836
2012-05-30,24.700328826904297,46.10744094848633
2012-05-31,24.59174156188965,45.85737228393555
2012-06-01,24.05205726623535,45.62758255004883
2012-06-04,24.23304557800293,45.6073112487793
2012-06-05,24.101425170898438,45.28288269042969
2012-06-06,24.552249908447266,45.61406326293945
2012-06-07,24.44366455078125,45.742469787597656
2012-06-08,24.759565353393555,46.16828155517578
2012-06-11,24.568706512451172,45.99254608154297
2012-06-12,24.74639892578125,46.229095458984375
2012-06-13,24.74639892578125,46.330474853515625
2012-06-14,25.09429931640625,46.81709671020508
2012-06-15,25.210250854492188,46.959041595458984
2012-06-18,25.173818588256836,47.04013442993164
2012-06-19,25.09429931640625,46.844139099121094
2012-06-20,25.03465461730957,46.573787689208984
2012-06-21,24.73978614807129,46.29667663574219
2012-06-22,24.829235076904297,46.431861877441406
2012-06-25,24.772912979125977,46.37103271484375
2012-06-26,24.87562370300293,46.59405517578125
2012-06-27,25.2930850982666,47.14151382446289
2012-06-28,25.369293212890625,47.04013442993164
2012-06-29,25.906038284301758,47.756553649902344
2012-07-02,26.147891998291016,47.824134826660156
2012-07-03,26.227418899536133,47.824134826660156
2012-07-05,25.99217414855957,47.42536926269531
2012-07-06,25.89278221130371,47.459163665771484
2012-07-09,25.836458206176758,47.3037223815918
2012-07-10,25.836458206176758,47.22262954711914
2012-07-11,25.66416358947754,47.39834213256836
2012-07-12,25.392478942871094,47.20908737182617
2012-07-13,25.604534149169922,47.58759307861328
2012-07-16,25.339468002319336,47.547019958496094
2012-07-17,25.74037742614746,47.53351593017578
2012-07-18,25.657541275024414,47.56730651855469
2012-07-19,25.693986892700195,47.594329833984375
2012-07-20,25.52170181274414,47.283447265625
2012-07-23,25.472000122070312,46.86442184448242
2012-07-24,25.399110794067383,46.4926872253418
2012-07-25,25.518386840820312,47.513248443603516
2012-07-26,26.124711990356445,48.13504409790039
2012-07-27,26.50904655456543,48.83794021606445
2012-07-30,26.87681007385254,49.16908645629883
2012-07-31,26.77078628540039,49.15559387207031
2012-08-01,26.840364456176758,48.93256759643555
2012-08-02,26.422895431518555,48.52702331542969
